"id","edad","turno","horas_trabajo","horas_estudio","procrastinacion","organizacion","aprobo_parcial"
"001",23,"manana",2,7.6,24.5,27.8,"sí"
"002",26,"manana",6,10.1,19.4,21.5,"sí"
"003",31,"manana",6,6.4,26.9,26.1,"sí"
"004",33,"manana",7,6.4,31.1,30.7,"sí"
"005",29,"manana",7,8.6,26,23.5,"no"
"006",26,"manana",5,7.2,22.8,27.9,"sí"
"007",35,"manana",-99,6.7,26,15.6,"sí"
"008",21,"manana",5,7.9,25.5,24.4,"sí"
"009",29,"manana",4,5,33.2,26.2,"no"
"010",24,"manana",3,6.1,32,29.5,"no"
"011",24,"manana",4,5.9,24.8,20,"sí"
"012",33,"manana",2,5.6,35.7,28.3,"sí"
"013",35,"manana",17,7.5,29.4,26.5,"sí"
"014",20,"manana",12,8.2,32.6,21.6,"no"
"015",26,"manana",23,6.9,24.1,31.9,"no"
"016",18,"manana",30,3.2,34.3,28.5,"no"
"017",30,"manana",27,3.5,32.4,30.9,"no"
"018",27,"manana",17,6.3,29.7,24.3,"sí"
"019",24,"manana",22,7.4,31.1,19.8,"sí"
"020",19,"manana",27,6.6,31.7,26.4,"no"
"021",25,"manana",24,4.5,35.5,21.7,"sí"
"022",31,"manana",21,1,32.4,25.5,"sí"
"023",18,"manana",22,2.8,30.8,30.4,"no"
"024",29,"manana",18,8.9,27.7,30.5,"sí"
"025",27,"tarde",6,8,29.4,25.9,"no"
"026",29,"tarde",7,9,35,23,"sí"
"027",24,"tarde",0,7.9,35.4,22.1,"no"
"028",19,"tarde",1,7.7,36.2,18.9,"sí"
"029",23,"tarde",5,2.7,33.8,20,"no"
"030",35,"tarde",3,10,30.4,21,"sí"
"031",27,"tarde",1,8.8,31.6,23,"sí"
"032",24,"tarde",3,8.2,28.6,19.5,"sí"
"033",19,"tarde",6,8.7,27.6,24.4,"no"
"034",24,"tarde",3,7.6,29.1,30.1,"sí"
"035",23,"tarde",0,10.9,33.5,23,"sí"
"036",33,"tarde",0,7.2,31.2,24,"sí"
"037",19,"tarde",19,7.9,35.1,24.2,"sí"
"038",19,"tarde",27,1,38.5,22.9,"sí"
"039",23,"tarde",27,4.5,33.3,27.9,"sí"
"040",26,"tarde",18,7.4,32.2,24.4,"no"
"041",25,"tarde",21,5.1,38,28.2,"no"
"042",30,"tarde",19,8.2,33,24.8,"no"
"043",23,"tarde",21,1.5,37.2,18.1,"no"
"044",34,"tarde",24,7.3,35.8,31,"no"
"045",19,"tarde",22,9.7,32.1,18.9,"sí"
"046",28,"tarde",13,3.8,38,22.6,"no"
"047",20,"tarde",16,6.4,34.7,28,"sí"
"048",31,"tarde",20,5.8,39.5,30.8,"no"
"049",24,"noche",0,7.1,29.9,21.3,"no"
"050",24,"noche",4,8.2,36.4,21.3,"sí"
"051",21,"noche",3,9.5,36.4,30.2,"sí"
"052",32,"noche",3,4.6,31,22.9,"sí"
"053",31,"noche",2,5.8,37.8,26.1,"no"
"054",22,"noche",8,6.7,33.3,20.5,"no"
"055",25,"noche",5,5.2,37.5,18.8,"sí"
"056",32,"noche",6,7.1,36.2,21.5,"no"
"057",27,"noche",3,4.7,39.1,17.2,"sí"
"058",22,"noche",-99,5.6,29.2,23.1,"no"
"059",33,"noche",5,6,32.2,27.7,"no"
"060",27,"noche",6,6.4,37,24.1,"sí"
"061",21,"noche",20,6.7,36.2,20.6,"sí"
"062",27,"noche",23,6,33.7,20.2,"sí"
"063",35,"noche",28,3.4,43.7,26.9,"no"
"064",24,"noche",25,5.6,32.5,31.4,"sí"
"065",35,"noche",15,7.7,37,22.1,"sí"
"066",22,"noche",24,6.6,32.8,18.8,"sí"
"067",28,"noche",27,5.2,34.8,28,"no"
"068",33,"noche",13,9.6,33.9,21,"sí"
"069",20,"noche",15,3.3,39.8,19,"no"
"070",35,"noche",19,9.8,35.7,22.6,"no"
"071",24,"noche",23,3.7,37.4,28.4,"no"
"072",23,"noche",26,6.3,36,26.2,"sí"
