"id","organizacion_pre","organizacion_post"
"T01",22.5,25.5
"T02",21.9,23.6
"T03",21.4,22.3
"T04",28.1,32.4
"T05",19.3,20.1
"T06",23.9,28.8
"T07",18.5,21.1
"T08",22.5,28
"T09",17.5,21.5
"T10",21.4,22.5
"T11",20.9,25.8
"T12",19,19.8
"T13",23.2,23.9
"T14",17.6,20.9
"T15",23,22.8
"T16",25.4,25.7
"T17",17.8,23.2
"T18",26.3,30.9
"T19",21.1,19.4
"T20",21.4,23.2
"T21",20.5,22.7
"T22",23.2,26.5
"T23",15,16.5
"T24",15.7,18.4
"T25",22.4,23.1
"T26",25.5,28.7
"T27",21.8,23.6
"T28",22.3,26.8
"T29",24.7,25.8
"T30",20.9,25.5
"T31",24,27
"T32",21,26.1
